"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.04731	0	0	1	0.485	0.485	2.15	0.5
0.047312	0	0	1	0.486	0.486	2.15	0.5
0.047313	0	0	1	0.487	0.487	2.15	0.5
0.047315	0	0	1	0.488	0.488	2.15	0.5
0.047307	0	0	1	0.489	0.489	2.15	0.5
0.047296	0	0	1	0.49	0.49	2.15	0.5
0.047285	0	0	1	0.491	0.491	2.15	0.5
0.047274	0	0	1	0.492	0.492	2.15	0.5
0.047264	0	0	1	0.493	0.493	2.15	0.5
0.047253	0	0	1	0.494	0.494	2.15	0.5
0.047242	0	0	1	0.495	0.495	2.15	0.5
0.047231	0	0	1	0.496	0.496	2.15	0.5
0.04722	0	0	1	0.497	0.497	2.15	0.5
0.047209	0	0	1	0.498	0.498	2.15	0.5
0.047198	0	0	1	0.499	0.499	2.15	0.5
0.047187	0	0	1	0.5	0.5	2.15	0.5
0.047177	0	0	1	0.501	0.501	2.15	0.5
0.047166	0	0	1	0.502	0.502	2.15	0.5
0.047156	0	0	1	0.503	0.503	2.15	0.5
0.047147	0	0	1	0.504	0.504	2.15	0.5
