"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.034306	52717	52717	1	0.438	0.438	2.15	0.5
0.034282	52392	52392	1	0.439	0.439	2.15	0.5
0.034258	52067	52067	1	0.44	0.44	2.15	0.5
0.034234	51741	51741	1	0.441	0.441	2.15	0.5
0.03421	51416	51416	1	0.442	0.442	2.15	0.5
0.034186	51091	51091	1	0.443	0.443	2.15	0.5
0.034162	50766	50766	1	0.444	0.444	2.15	0.5
0.034138	50440	50440	1	0.445	0.445	2.15	0.5
0.034114	50115	50115	1	0.446	0.446	2.15	0.5
0.034093	49813	49813	1	0.447	0.447	2.15	0.5
0.034084	49592	49592	1	0.448	0.448	2.15	0.5
0.034074	49370	49370	1	0.449	0.449	2.15	0.5
0.034065	49149	49149	1	0.45	0.45	2.15	0.5
0.034055	48927	48927	1	0.451	0.451	2.15	0.5
0.034046	48706	48706	1	0.452	0.452	2.15	0.5
0.034036	48484	48484	1	0.453	0.453	2.15	0.5
0.034027	48263	48263	1	0.454	0.454	2.15	0.5
0.034017	48041	48041	1	0.455	0.455	2.15	0.5
0.034008	47820	47820	1	0.456	0.456	2.15	0.5
0.033998	47598	47598	1	0.457	0.457	2.15	0.5
0.033989	47377	47377	1	0.458	0.458	2.15	0.5
0.033979	47155	47155	1	0.459	0.459	2.15	0.5
0.03397	46934	46934	1	0.46	0.46	2.15	0.5
0.033961	46712	46712	1	0.461	0.461	2.15	0.5
0.033951	46491	46491	1	0.462	0.462	2.15	0.5
0.033942	46269	46269	1	0.463	0.463	2.15	0.5
0.033932	46048	46048	1	0.464	0.464	2.15	0.5
0.033923	45826	45826	1	0.465	0.465	2.15	0.5
0.033913	45604	45604	1	0.466	0.466	2.15	0.5
0.033904	45383	45383	1	0.467	0.467	2.15	0.5
0.033892	45241	45241	1	0.468	0.468	2.15	0.5
0.033878	45226	45226	1	0.469	0.469	2.15	0.5
